API,class,stress,level,initial_API,initial_deg,stressed_API_true,stressed_deg_true,stressed_API_meas,stressed_deg_meas
Run_50,small_volatile,acid,low,99.62,0.62,98.11,2.14,97.82,2.03
Run_51,peptide,photolysis,low,99.05,0.16,96.05,3.15,96.66,2.62
Run_52,small_nonvolatile,photolysis,low,100.81,0.34,99.76,1.39,99.56,0.12
Run_53,peptide,photolysis,low,100.19,0.49,96.75,3.93,97.23,4.58
Run_54,small_volatile,oxidation,mid,100.74,0.85,87.98,11.67,87.17,11.82
Run_55,small_volatile,oxidation,low,100.19,0.28,95.11,5.36,95.23,5.20
Run_56,peptide,oxidation,low,98.82,0.80,94.40,5.22,94.15,5.50
Run_57,small_volatile,base,high,99.99,0.17,69.44,30.73,70.25,30.38
Run_58,peptide,oxidation,high,99.96,0.25,57.41,42.80,57.54,43.20
Run_59,peptide,photolysis,high,99.45,0.57,60.63,39.39,59.97,39.54
Run_60,small_nonvolatile,acid,mid,100.44,0.22,94.66,6.01,94.39,5.48
Run_61,small_nonvolatile,base,high,100.03,0.49,67.86,32.66,68.47,33.24
Run_62,small_volatile,oxidation,high,100.19,0.59,77.76,23.02,76.97,23.54
Run_63,small_nonvolatile,thermal,mid,100.38,0.74,79.73,21.39,80.15,21.70
Run_64,peptide,photolysis,low,100.10,0.75,98.56,2.28,98.68,2.29
Run_65,small_nonvolatile,base,low,99.83,0.44,98.41,1.85,98.33,1.87
Run_66,small_nonvolatile,photolysis,low,100.03,0.19,96.23,4.00,97.04,3.06
Run_67,small_nonvolatile,photolysis,low,99.92,0.49,98.86,1.56,98.46,0.80
Run_68,small_nonvolatile,base,mid,99.69,0.15,82.90,16.95,83.58,16.44
Run_69,peptide,oxidation,high,100.37,0.82,79.59,21.61,79.32,21.48
Run_70,small_volatile,photolysis,low,100.06,0.21,96.18,4.09,96.52,4.07
Run_71,peptide,thermal,mid,100.23,0.52,87.21,13.53,88.27,13.39
Run_72,small_nonvolatile,photolysis,low,99.27,0.72,95.85,4.14,95.94,2.91
Run_73,small_volatile,photolysis,high,98.79,0.38,68.86,27.66,68.30,28.01
Run_74,peptide,acid,mid,100.33,0.21,93.47,7.07,93.42,6.63
Run_75,small_volatile,acid,mid,100.32,0.42,88.63,12.10,89.03,12.15
Run_76,small_nonvolatile,oxidation,low,100.04,0.94,96.22,4.76,95.97,4.32
Run_77,peptide,thermal,mid,99.65,0.85,90.48,10.02,89.38,10.52
Run_78,small_volatile,acid,mid,100.01,0.39,90.88,7.80,91.22,7.97
Run_79,small_volatile,base,high,99.42,0.77,53.92,46.28,53.01,46.53
Run_80,small_volatile,base,low,99.43,0.72,96.49,3.66,96.47,3.82
Run_81,small_nonvolatile,base,high,99.42,0.93,59.74,40.62,59.89,40.57
Run_82,peptide,acid,low,99.87,0.69,96.99,3.58,96.72,2.41
Run_83,peptide,base,high,100.67,0.18,56.50,44.35,56.86,44.54
Run_84,small_nonvolatile,photolysis,high,99.49,0.91,66.04,34.35,65.69,33.56
Run_85,small_volatile,oxidation,low,100.48,0.10,96.77,3.81,96.97,3.68
Run_86,peptide,acid,mid,99.60,0.90,93.60,6.90,93.75,6.69
Run_87,peptide,photolysis,low,100.33,0.68,95.84,5.16,95.05,4.98
Run_88,small_nonvolatile,base,low,100.26,0.56,96.28,4.55,95.55,4.36
Run_89,small_volatile,acid,high,99.72,0.67,68.31,32.09,68.24,32.07
Run_90,small_volatile,thermal,low,100.36,0.27,98.32,2.31,99.50,2.34
Run_91,peptide,thermal,mid,100.26,0.75,82.58,18.42,82.79,18.93
Run_92,small_nonvolatile,thermal,low,100.81,0.81,96.64,4.98,96.33,4.78
Run_93,small_nonvolatile,base,mid,100.24,0.77,84.07,16.93,83.80,15.94
Run_94,small_nonvolatile,oxidation,low,99.90,0.39,96.70,3.59,96.66,2.90
Run_95,small_nonvolatile,thermal,low,100.46,0.73,96.70,4.49,96.26,4.47
Run_96,peptide,photolysis,low,100.20,0.47,97.78,2.89,97.47,2.28
Run_97,small_nonvolatile,thermal,high,100.48,0.90,79.55,21.82,79.51,22.84
Run_98,small_volatile,photolysis,low,99.74,0.61,96.95,3.41,96.44,3.53
Run_99,peptide,acid,mid,100.23,0.38,91.82,8.80,92.12,8.21
Run_100,peptide,acid,mid,99.97,0.73,94.29,6.41,92.84,4.24
Run_101,peptide,acid,mid,100.77,0.29,85.90,15.16,86.31,14.53
Run_102,peptide,oxidation,high,100.14,0.33,78.86,21.60,78.41,21.04
Run_103,small_volatile,thermal,mid,99.63,0.66,92.75,7.53,92.27,8.21
Run_104,small_nonvolatile,oxidation,high,99.24,0.43,71.50,28.17,71.31,28.77
Run_105,small_volatile,oxidation,high,99.48,0.87,60.85,33.71,60.16,33.27
Run_106,peptide,photolysis,mid,100.11,0.67,86.37,14.40,86.01,13.89
Run_107,small_nonvolatile,oxidation,mid,99.86,0.45,93.17,7.15,92.88,7.38
Run_108,small_volatile,acid,mid,98.98,0.52,89.04,8.47,88.37,8.56
Run_109,small_nonvolatile,oxidation,mid,100.25,0.10,89.77,10.59,90.23,9.83
Run_110,peptide,oxidation,high,100.86,0.87,69.98,31.75,69.19,31.57
Run_111,small_nonvolatile,base,low,100.89,0.19,95.89,5.18,96.84,5.08
Run_112,small_nonvolatile,oxidation,mid,100.88,0.67,85.17,16.37,85.36,15.91
Run_113,peptide,acid,high,99.40,0.96,65.05,35.31,64.43,33.79
Run_114,small_volatile,acid,low,100.30,0.49,96.08,4.72,95.91,4.86
Run_115,peptide,acid,mid,100.59,0.41,85.98,15.03,85.94,15.92
Run_116,small_nonvolatile,photolysis,mid,100.10,0.87,90.82,10.15,90.30,10.26
Run_117,peptide,thermal,high,100.65,0.50,71.00,30.14,71.13,30.15
Run_118,small_volatile,acid,high,99.69,0.55,59.35,40.88,59.59,39.86
Run_119,small_volatile,photolysis,high,100.39,0.72,55.86,45.25,55.02,44.69
Run_120,small_volatile,photolysis,low,100.07,0.81,98.20,2.68,97.75,2.25
Run_121,small_volatile,thermal,mid,98.81,0.61,88.07,10.32,87.00,9.78
Run_122,small_volatile,acid,low,99.87,0.71,95.16,5.42,95.34,5.10
Run_123,peptide,oxidation,low,100.52,0.28,99.00,1.80,99.01,1.61
Run_124,small_nonvolatile,oxidation,high,100.34,0.26,55.66,44.94,55.85,44.55
Run_125,small_volatile,acid,low,99.98,0.93,98.53,2.38,97.84,1.83
Run_126,peptide,base,mid,101.10,0.86,91.89,10.06,91.67,9.55
Run_127,peptide,thermal,mid,99.94,0.96,88.03,12.87,87.96,12.10
Run_128,peptide,base,low,100.69,0.53,99.04,2.19,98.06,2.35
Run_129,small_nonvolatile,acid,low,100.34,0.14,98.55,1.93,98.39,1.57
Run_130,peptide,oxidation,low,99.32,0.40,96.75,2.97,96.18,3.15
Run_131,peptide,acid,mid,100.71,0.45,83.11,18.05,83.27,18.48
Run_132,small_volatile,oxidation,mid,99.96,0.26,83.60,16.62,84.37,17.02
Run_133,small_nonvolatile,thermal,low,99.56,0.71,95.69,4.58,95.70,3.81
Run_134,peptide,base,mid,100.40,0.74,91.12,10.01,91.65,10.14
Run_135,small_volatile,photolysis,high,99.77,0.88,69.13,31.51,68.85,32.20
Run_136,small_nonvolatile,photolysis,high,101.18,0.40,73.94,27.64,74.71,27.40
Run_137,small_volatile,oxidation,low,100.29,0.17,96.22,4.24,96.77,4.04
Run_138,small_nonvolatile,base,mid,99.79,0.99,88.10,12.69,88.50,12.71
Run_139,peptide,base,low,99.48,0.28,95.14,4.62,94.81,5.21
Run_140,peptide,base,mid,100.81,0.90,79.59,22.12,80.32,21.19
Run_141,small_nonvolatile,acid,low,100.35,0.69,96.57,4.47,96.70,4.96
Run_142,peptide,oxidation,low,100.43,0.95,99.35,2.04,99.30,1.48
Run_143,small_volatile,thermal,low,101.06,0.84,99.02,2.89,98.38,2.26
Run_144,small_nonvolatile,oxidation,high,99.96,0.83,48.50,52.29,48.34,52.21
Run_145,peptide,oxidation,low,100.01,0.16,96.28,3.88,95.81,4.09
Run_146,small_volatile,oxidation,low,99.69,0.90,97.93,2.47,97.72,2.89
Run_147,small_volatile,photolysis,mid,100.95,0.76,86.45,13.53,87.14,13.00
Run_148,small_nonvolatile,base,high,100.66,0.77,71.86,29.57,72.11,29.64
Run_149,small_volatile,base,high,98.79,0.25,62.00,31.83,61.25,32.12
Run_150,small_nonvolatile,base,low,100.68,0.62,96.36,4.94,96.80,5.70
Run_151,peptide,photolysis,low,100.16,0.20,95.45,4.91,94.68,4.48
Run_152,small_volatile,oxidation,high,99.82,0.86,61.83,38.86,61.00,38.85
Run_153,peptide,thermal,high,99.59,0.59,68.90,31.28,69.27,31.60
Run_154,small_volatile,base,high,100.11,0.43,78.75,21.80,78.56,21.88
Run_155,small_volatile,base,low,100.96,0.23,99.56,1.63,100.54,1.93
Run_156,small_nonvolatile,thermal,high,100.19,0.34,53.06,47.47,53.99,46.50
Run_157,peptide,base,mid,99.76,0.23,83.15,16.85,82.69,17.14
Run_158,small_volatile,oxidation,high,100.88,0.65,76.75,24.79,78.23,24.00
Run_159,small_volatile,oxidation,mid,100.17,0.94,79.90,21.21,79.58,21.76
Run_160,small_nonvolatile,acid,low,99.55,0.84,98.10,2.29,98.30,1.67
Run_161,small_volatile,thermal,mid,100.25,0.64,81.03,17.66,81.33,17.44
Run_162,small_nonvolatile,photolysis,mid,99.71,0.44,79.90,20.24,79.78,20.73
Run_163,small_nonvolatile,thermal,mid,99.91,0.86,78.82,21.96,78.96,15.13
Run_164,peptide,acid,low,100.73,0.56,98.79,2.49,97.74,2.74
Run_165,small_nonvolatile,acid,low,100.06,0.83,98.48,2.42,98.14,3.26
Run_166,small_nonvolatile,photolysis,low,100.26,0.10,99.25,1.12,99.09,2.31
Run_167,peptide,thermal,low,99.72,0.91,97.21,3.42,97.09,3.34
Run_168,small_nonvolatile,acid,mid,100.39,0.63,92.80,8.21,93.57,7.97
Run_169,small_nonvolatile,thermal,high,100.57,0.51,55.84,45.24,56.13,45.21
Run_170,small_volatile,photolysis,low,100.10,0.40,96.65,3.86,97.06,5.00
Run_171,small_volatile,photolysis,low,100.18,0.48,98.96,1.69,98.62,2.20
Run_172,peptide,base,high,99.51,0.96,64.51,35.95,64.38,35.37
Run_173,peptide,base,mid,100.29,0.94,88.66,12.57,88.17,12.74
Run_174,small_nonvolatile,acid,high,100.28,0.53,78.63,22.18,79.14,22.19
Run_175,peptide,base,low,100.73,0.44,97.62,3.55,98.03,3.72
Run_176,small_nonvolatile,acid,low,100.08,0.30,97.31,3.07,97.50,3.79
Run_177,peptide,acid,low,100.05,0.76,96.99,3.83,96.47,3.40
Run_178,small_nonvolatile,thermal,mid,99.56,0.87,86.75,13.68,87.02,14.82
Run_179,small_nonvolatile,base,high,99.70,0.35,54.26,45.80,54.95,46.69
Run_180,small_volatile,acid,mid,100.50,0.14,84.60,13.92,85.58,14.35
Run_181,small_nonvolatile,photolysis,mid,100.28,0.55,83.27,17.56,82.77,16.91
Run_182,peptide,base,mid,99.97,0.40,93.76,6.60,93.40,6.72
Run_183,small_nonvolatile,base,mid,99.99,0.57,82.16,18.40,81.78,19.14
Run_184,peptide,base,mid,100.45,0.23,86.83,13.84,86.44,10.14
Run_185,small_volatile,photolysis,mid,100.32,0.40,93.57,6.39,94.21,7.06
Run_186,peptide,acid,low,99.48,0.65,94.87,5.26,95.19,4.60
Run_187,small_nonvolatile,oxidation,high,99.88,0.99,78.20,22.67,78.66,22.19
Run_188,small_nonvolatile,thermal,mid,99.88,0.12,89.54,10.47,89.52,9.91
Run_189,peptide,oxidation,high,99.95,0.40,76.41,23.94,75.63,24.35
Run_190,peptide,oxidation,mid,100.07,0.34,92.11,8.29,92.68,8.36
Run_191,peptide,thermal,low,100.06,0.83,97.27,3.62,97.74,3.76
Run_192,peptide,base,mid,99.63,0.42,87.12,12.93,87.54,12.86
Run_193,small_nonvolatile,acid,low,99.91,0.12,95.81,4.22,95.11,3.60
Run_194,small_nonvolatile,base,low,99.71,0.26,98.15,1.83,98.71,1.70
Run_195,small_nonvolatile,thermal,mid,99.72,0.98,91.95,8.75,91.56,8.44
Run_196,small_volatile,photolysis,high,99.98,0.41,62.43,37.95,62.96,37.96
Run_197,small_nonvolatile,base,mid,99.60,0.26,82.16,17.70,82.14,17.85
Run_198,small_volatile,thermal,high,100.18,0.88,58.72,42.34,59.01,43.03
Run_199,small_nonvolatile,thermal,low,99.66,0.19,96.67,3.18,96.98,2.61
Run_200,small_volatile,photolysis,high,99.86,0.94,78.20,22.60,77.89,23.36
Run_201,small_volatile,acid,high,100.38,0.61,56.04,42.44,55.54,43.03
Run_202,peptide,acid,mid,98.81,0.96,89.82,9.94,91.01,10.74
Run_203,small_nonvolatile,acid,low,99.93,0.41,98.01,2.33,98.13,2.41
Run_204,small_nonvolatile,acid,mid,100.70,0.80,93.64,7.86,93.77,7.55
Run_205,small_volatile,acid,mid,100.07,0.22,80.43,19.87,80.10,19.78
Run_206,small_volatile,acid,high,99.29,0.35,56.47,43.17,56.52,43.28
Run_207,peptide,oxidation,low,99.96,0.80,97.58,3.18,97.83,2.74
Run_208,small_volatile,oxidation,high,99.68,0.45,64.99,33.21,64.47,33.38
Run_209,small_nonvolatile,photolysis,high,100.09,0.51,63.11,37.50,63.08,36.47
Run_210,peptide,photolysis,high,99.76,0.34,56.57,43.53,56.43,43.31
Run_211,small_volatile,oxidation,low,100.19,0.24,98.32,1.75,99.01,1.51
Run_212,peptide,acid,low,100.14,0.32,97.59,2.88,98.17,2.89
Run_213,small_volatile,photolysis,low,100.20,0.37,95.68,4.53,96.15,4.22
Run_214,small_volatile,base,high,100.30,0.91,51.31,49.91,50.91,48.90
Run_215,small_nonvolatile,base,mid,100.33,0.43,93.84,6.92,93.96,4.53
Run_216,peptide,base,high,99.38,0.80,72.43,27.74,72.09,27.83
Run_217,small_volatile,acid,low,100.62,0.39,98.85,2.16,99.56,1.57
Run_218,small_volatile,base,mid,100.18,0.39,82.62,17.94,82.90,17.77
Run_219,small_volatile,thermal,mid,100.58,0.85,89.11,12.32,89.01,8.33
Run_220,small_nonvolatile,base,low,99.67,1.00,97.17,3.49,97.56,3.83
Run_221,small_nonvolatile,oxidation,low,99.50,0.31,96.81,3.00,96.87,2.63
Run_222,small_volatile,acid,high,99.33,0.13,69.16,27.50,69.14,27.44
Run_223,small_nonvolatile,photolysis,high,99.60,0.62,53.69,46.53,53.47,46.19
Run_224,peptide,base,low,101.10,0.64,96.05,5.69,95.47,5.62
Run_225,peptide,acid,low,98.83,0.60,97.26,2.17,97.64,1.76
Run_226,small_nonvolatile,base,high,100.18,0.94,50.53,50.59,50.18,49.51
Run_227,small_volatile,photolysis,mid,99.40,0.44,87.60,12.24,86.96,12.60
Run_228,small_volatile,oxidation,low,99.06,0.14,96.40,2.80,97.54,2.57
Run_229,small_nonvolatile,base,mid,99.38,0.93,86.53,13.78,85.99,13.82
Run_230,small_nonvolatile,thermal,high,100.62,0.39,54.62,46.40,54.11,46.37
Run_231,peptide,photolysis,high,99.08,0.49,76.53,23.04,76.20,23.69
Run_232,small_volatile,acid,low,100.07,0.47,95.83,3.92,95.68,3.63
Run_233,small_nonvolatile,base,low,99.53,0.15,96.93,2.75,96.52,2.24
Run_234,small_volatile,photolysis,low,99.39,0.12,97.91,1.60,98.04,1.29
Run_235,small_volatile,acid,low,100.63,0.15,96.38,4.08,95.87,4.49
Run_236,peptide,oxidation,high,99.85,0.61,78.52,21.94,78.09,21.92
Run_237,small_volatile,photolysis,high,99.90,0.87,62.67,38.10,62.92,38.61
Run_238,small_nonvolatile,base,mid,99.36,0.18,94.52,5.03,94.11,5.13
Run_239,small_nonvolatile,base,mid,98.94,0.67,82.77,16.84,81.44,11.76
Run_240,small_volatile,base,low,100.88,0.64,98.04,3.48,97.10,4.05
Run_241,small_volatile,oxidation,low,100.21,0.17,98.36,1.73,98.38,1.72
Run_242,peptide,base,low,99.31,0.75,98.27,1.79,98.04,1.56
Run_243,small_nonvolatile,base,low,100.99,0.15,95.93,5.21,96.36,6.01
Run_244,peptide,base,high,99.98,0.71,61.10,39.58,61.17,39.42
Run_245,small_volatile,photolysis,high,100.65,0.21,55.43,45.43,55.54,44.79
Run_246,small_volatile,oxidation,high,100.05,0.65,74.90,22.84,75.19,23.45
Run_247,small_volatile,base,high,99.94,0.21,68.21,28.95,68.02,28.44
Run_248,small_nonvolatile,oxidation,low,99.72,0.17,96.05,3.84,96.16,3.44
Run_249,small_nonvolatile,acid,high,100.38,0.67,67.37,33.67,67.37,33.74
Run_250,small_volatile,thermal,high,99.81,0.48,55.81,44.48,55.65,44.78
Run_251,small_nonvolatile,acid,high,100.10,0.80,73.93,26.97,74.72,27.25
Run_252,small_volatile,oxidation,mid,99.89,0.58,85.05,14.51,84.29,13.80
Run_253,peptide,acid,high,101.01,0.65,76.79,24.87,76.92,25.96
Run_254,small_nonvolatile,base,high,100.34,0.35,67.67,33.02,67.14,33.28
Run_255,small_volatile,oxidation,low,100.35,0.86,97.96,2.94,97.77,4.03
Run_256,small_nonvolatile,thermal,mid,99.32,0.31,93.63,5.99,93.74,6.58
Run_257,small_volatile,acid,mid,100.40,0.83,89.13,12.11,89.12,11.80
Run_258,small_volatile,base,mid,100.51,0.51,92.90,8.12,92.87,8.30
Run_259,small_volatile,thermal,mid,99.67,0.88,88.57,9.76,88.60,6.17
Run_260,peptide,thermal,low,99.68,0.46,96.08,4.07,95.79,4.01
Run_261,small_volatile,thermal,low,100.00,0.26,97.27,2.99,97.18,2.53
Run_262,small_nonvolatile,thermal,high,100.22,0.80,70.25,30.78,69.76,30.71
Run_263,small_nonvolatile,oxidation,low,99.69,0.63,95.94,4.38,96.12,3.92
Run_264,small_volatile,base,low,100.05,0.58,98.03,2.59,97.18,1.67
Run_265,small_nonvolatile,oxidation,high,99.42,0.14,65.98,33.58,65.69,34.77
Run_266,peptide,oxidation,high,100.13,0.30,74.50,25.94,74.36,25.69
Run_267,small_nonvolatile,oxidation,mid,100.19,0.36,94.18,6.37,94.50,4.91
Run_268,small_nonvolatile,oxidation,low,99.52,0.36,95.19,4.68,95.61,5.24
Run_269,small_volatile,photolysis,low,100.11,0.51,96.30,4.32,96.66,4.37
Run_270,small_volatile,thermal,mid,99.95,0.78,80.89,17.70,81.37,17.30
Run_271,small_volatile,base,low,101.28,0.49,98.78,2.99,98.96,2.92
Run_272,small_volatile,photolysis,low,99.64,0.74,96.92,2.99,96.66,2.53
Run_273,small_volatile,thermal,high,99.38,0.67,50.10,49.94,50.66,49.87
Run_274,small_nonvolatile,oxidation,low,99.94,0.94,95.49,5.39,95.37,5.68
Run_275,peptide,thermal,low,99.92,0.52,96.73,3.72,96.63,2.71
Run_276,small_volatile,acid,high,100.01,0.45,70.57,29.89,69.82,30.26
Run_277,peptide,oxidation,mid,99.97,0.79,89.95,10.81,89.96,10.74
Run_278,peptide,thermal,mid,99.71,0.78,82.89,17.60,83.43,16.77
Run_279,small_nonvolatile,oxidation,mid,100.02,0.80,88.27,12.55,88.21,12.54
Run_280,small_nonvolatile,acid,mid,99.33,0.37,91.02,8.68,90.83,8.74
Run_281,small_nonvolatile,photolysis,high,99.71,0.87,77.61,22.97,77.63,22.86
Run_282,small_nonvolatile,base,high,99.67,0.70,73.54,26.83,73.90,27.45
Run_283,peptide,thermal,high,101.28,0.50,61.83,39.95,62.65,40.15
Run_284,small_nonvolatile,photolysis,low,99.37,0.96,95.41,4.92,95.72,5.46
Run_285,small_nonvolatile,thermal,mid,99.73,0.69,82.36,18.05,82.19,12.41
Run_286,peptide,base,high,100.22,0.83,62.85,38.21,63.58,38.13
Run_287,small_nonvolatile,base,high,99.86,0.16,57.82,42.20,57.19,42.03
Run_288,small_volatile,oxidation,high,99.99,0.55,55.14,37.70,55.82,38.18
Run_289,small_nonvolatile,oxidation,low,100.10,0.85,95.66,5.29,95.97,4.98
Run_290,small_nonvolatile,photolysis,mid,100.09,0.63,81.19,19.53,80.80,19.29
Run_291,small_nonvolatile,acid,high,99.51,1.00,75.51,25.00,75.06,24.41
Run_292,peptide,oxidation,high,99.33,0.83,48.32,51.85,48.35,51.80
Run_293,peptide,oxidation,low,100.43,0.25,96.50,4.18,97.57,4.28
Run_294,small_nonvolatile,photolysis,mid,99.41,0.18,91.26,8.33,91.83,8.37
Run_295,small_volatile,oxidation,high,100.74,0.36,67.66,33.44,67.56,33.54
Run_296,small_nonvolatile,thermal,high,99.98,0.73,68.80,31.92,69.04,32.40
Run_297,peptide,oxidation,high,100.00,0.16,70.20,29.96,70.81,29.64
Run_298,small_nonvolatile,oxidation,high,99.97,0.81,68.29,32.49,69.14,32.42
Run_299,small_volatile,oxidation,high,99.27,0.55,74.89,21.99,74.81,22.22
Run_300,small_nonvolatile,acid,high,99.62,0.63,68.69,31.56,68.78,31.85
Run_301,small_nonvolatile,oxidation,mid,99.99,0.69,78.62,22.05,79.40,22.40
Run_302,small_volatile,thermal,low,100.32,0.37,96.46,4.23,96.81,4.49
Run_303,small_nonvolatile,acid,mid,99.05,0.14,86.06,13.13,86.11,13.02
Run_304,peptide,photolysis,high,99.32,0.16,54.82,44.66,55.92,45.51
Run_305,peptide,acid,low,101.03,0.95,97.69,4.28,98.18,4.03
Run_306,small_nonvolatile,oxidation,high,100.04,0.90,63.09,37.85,63.65,38.49
Run_307,small_nonvolatile,photolysis,low,99.12,0.32,98.07,1.37,97.75,0.96
Run_308,peptide,acid,low,100.79,0.71,99.22,2.29,98.63,2.66
Run_309,small_nonvolatile,photolysis,low,100.14,0.91,96.35,4.70,95.95,5.04
Run_310,small_nonvolatile,oxidation,high,100.33,0.83,73.84,27.33,73.66,27.08
Run_311,small_nonvolatile,oxidation,mid,99.94,0.65,83.69,16.89,83.04,17.15
Run_312,peptide,photolysis,mid,100.08,0.10,81.67,18.51,81.30,12.58
Run_313,small_nonvolatile,acid,mid,99.77,0.22,84.15,15.85,84.12,15.94
Run_314,peptide,thermal,low,100.52,0.22,98.93,1.81,99.07,1.53
Run_315,small_volatile,thermal,high,99.82,0.13,79.30,20.64,79.48,20.16
Run_316,small_nonvolatile,photolysis,low,99.57,0.48,95.05,5.01,95.18,4.67
Run_317,small_nonvolatile,base,high,100.12,0.88,58.29,42.72,58.20,43.18
Run_318,small_volatile,photolysis,low,99.38,0.92,98.21,2.10,98.12,1.89
Run_319,peptide,acid,mid,100.35,0.71,87.19,13.87,87.34,13.24
Run_320,small_volatile,base,high,100.18,0.48,77.58,23.09,77.33,22.62
Run_321,peptide,acid,high,100.02,0.33,54.29,46.06,55.50,45.54
Run_322,small_volatile,thermal,low,99.38,0.46,97.95,1.88,98.73,1.22
Run_323,small_nonvolatile,thermal,high,99.86,0.57,67.73,32.69,67.37,32.75
Run_324,small_nonvolatile,thermal,mid,99.48,0.93,85.70,14.70,85.22,15.50
Run_325,small_nonvolatile,photolysis,mid,100.57,0.34,86.78,14.14,87.31,13.98
Run_326,small_volatile,acid,high,99.79,0.96,68.84,31.91,68.49,31.35
Run_327,small_volatile,oxidation,high,100.16,0.47,58.35,39.31,57.86,39.60
Run_328,small_volatile,acid,low,99.87,0.91,96.14,4.22,96.09,4.99
Run_329,small_volatile,oxidation,mid,99.83,0.87,86.55,14.15,86.68,13.89
Run_330,small_nonvolatile,oxidation,mid,99.68,0.51,87.91,12.29,87.72,12.58
Run_331,small_volatile,base,high,100.67,0.64,78.24,23.07,77.41,22.60
Run_332,small_volatile,acid,high,100.19,0.12,58.25,33.75,58.45,33.55
Run_333,small_volatile,oxidation,high,99.57,0.55,62.83,37.28,62.13,37.35
Run_334,small_volatile,base,mid,99.99,0.30,90.79,9.50,91.36,8.87
